Nike SB Dunk Low atmos Elephant,2020-11-11,4,0.0,1,272.2,10,339.5,2,333.64285714285717,28,302.3333333333333,15,307.22857142857146,35,360.3692307692308,65,408.8494208494208,259
Nike SB Dunk Low atmos Elephant,2020-11-11,4.5,0.0,1,0.0,1,369.0,2,334.29411764705884,17,298.5,16,297.97222222222223,36,359.47058823529414,68,359.7749077490775,271
Nike SB Dunk Low atmos Elephant,2020-11-11,5,0.0,1,323.6666666666667,3,348.3333333333333,3,330.2857142857143,28,310.93333333333334,15,293.8857142857143,35,328.0151515151515,66,347.7376425855513,263
Nike SB Dunk Low atmos Elephant,2020-11-11,5.5,0.0,1,0.0,1,395.0,2,327.2352941176471,17,295.0625,16,293.25,36,324.3529411764706,68,308.56826568265683,271
Nike SB Dunk Low atmos Elephant,2020-11-11,6,0.0,1,320.6666666666667,3,430.3333333333333,3,329.57142857142856,28,296.73333333333335,15,277.62857142857143,35,297.6363636363636,66,298.00380228136885,263
Nike SB Dunk Low atmos Elephant,2020-11-11,6.5,0.0,1,267.3333333333333,3,360.6666666666667,3,302.14285714285717,28,300.26666666666665,15,283.6857142857143,35,300.1212121212121,66,307.4182509505703,263
Nike SB Dunk Low atmos Elephant,2020-11-11,7,0.0,1,613.0,4,399.5,2,452.48275862068965,29,313.73333333333335,15,288.3142857142857,35,300.3030303030303,66,305.50763358778624,262
Nike SB Dunk Low atmos Elephant,2020-11-11,7.5,0.0,1,0.0,1,397.5,2,386.8695652173913,23,328.26666666666665,15,304.8888888888889,36,306.3880597014925,67,314.11567164179104,268
Nike SB Dunk Low atmos Elephant,2020-11-11,8,0.0,1,518.8181818181819,11,396.5,2,423.39285714285717,28,341.53333333333336,15,311.14285714285717,35,320.109375,64,333.25482625482624,259
Nike SB Dunk Low atmos Elephant,2020-11-11,8.5,450.0,1,514.0666666666667,15,405.5,2,428.2857142857143,28,362.93333333333334,15,334.7647058823529,34,331.453125,64,340.01953125,256
Nike SB Dunk Low atmos Elephant,2020-11-11,9,1300.0,7,607.6428571428571,14,409.0,2,438.60714285714283,28,368.93333333333334,15,346.9117647058824,34,349.0,63,356.09486166007906,253
Nike SB Dunk Low atmos Elephant,2020-11-11,9.5,0.0,1,540.75,12,406.0,2,447.17857142857144,28,390.3333333333333,15,361.2352941176471,34,356.7846153846154,65,363.468992248062,258
Nike SB Dunk Low atmos Elephant,2020-11-11,10,450.0,1,519.0666666666667,15,414.5,2,450.0,28,397.73333333333335,15,372.8235294117647,34,360.5,64,373.16796875,256
Nike SB Dunk Low atmos Elephant,2020-11-11,10.5,800.0,3,603.6,15,428.5,2,450.5357142857143,28,394.6,15,380.2352941176471,34,369.5,64,385.6968503937008,254
Nike SB Dunk Low atmos Elephant,2020-11-11,11,450.0,1,486.26666666666665,15,422.0,2,454.39285714285717,28,397.4,15,386.97058823529414,34,375.125,64,381.14453125,256
Nike SB Dunk Low atmos Elephant,2020-11-11,11.5,0.0,1,515.1666666666666,12,420.0,2,460.2857142857143,28,402.1333333333333,15,393.62857142857143,35,369.625,64,367.52713178294573,258
Nike SB Dunk Low atmos Elephant,2020-11-11,12,653.0,5,521.4285714285714,14,418.0,2,457.7142857142857,28,402.06666666666666,15,393.94117647058823,34,381.74603174603175,63,379.38039215686274,255
Nike SB Dunk Low atmos Elephant,2020-11-11,13,0.0,1,565.75,12,416.0,2,443.32142857142856,28,408.26666666666665,15,400.48571428571427,35,389.03125,64,394.4418604651163,258
Nike SB Dunk Low atmos Elephant,2020-11-11,14,0.0,1,0.0,1,480.0,2,411.44444444444446,18,397.3125,16,376.9166666666667,36,380.3529411764706,68,364.9222222222222,270
Nike SB Dunk Low atmos Elephant,2020-11-11,15,0.0,1,0.0,1,491.5,2,512.9444444444445,18,490.625,16,441.05555555555554,36,434.97058823529414,68,427.34444444444443,270
Nike SB Dunk Low J-Pack Chicago,2020-09-01,4,0.0,1,0.0,1,0.0,1,0.0,1,734.5,12,737.8571428571429,28,713.6792452830189,53,478.0188679245283,212
Nike SB Dunk Low J-Pack Chicago,2020-09-01,4.5,0.0,1,0.0,1,0.0,1,0.0,1,738.0,12,706.4827586206897,29,590.5,52,494.1367924528302,212
Nike SB Dunk Low J-Pack Chicago,2020-09-01,5,0.0,1,0.0,1,0.0,1,0.0,1,696.1666666666666,12,672.0,28,542.6603773584906,53,487.12264150943395,212
Nike SB Dunk Low J-Pack Chicago,2020-09-01,5.5,0.0,1,0.0,1,0.0,1,0.0,1,664.75,12,641.5,28,527.9433962264151,53,471.4858490566038,212
Nike SB Dunk Low J-Pack Chicago,2020-09-01,6,0.0,1,0.0,1,0.0,1,0.0,1,619.25,12,607.3928571428571,28,519.3018867924528,53,453.85377358490564,212
Nike SB Dunk Low J-Pack Chicago,2020-09-01,6.5,0.0,1,0.0,1,0.0,1,0.0,1,567.0,12,549.5357142857143,28,490.811320754717,53,452.061320754717,212
Nike SB Dunk Low J-Pack Chicago,2020-09-01,7,0.0,1,0.0,1,686.0,2,619.0,11,584.25,12,546.6785714285714,28,482.9019607843137,51,430.81553398058253,206
Nike SB Dunk Low J-Pack Chicago,2020-09-01,7.5,0.0,1,0.0,1,630.0,1,634.2666666666667,15,596.6666666666666,12,572.7777777777778,27,510.88235294117646,51,441.6390243902439,205
Nike SB Dunk Low J-Pack Chicago,2020-09-01,8,0.0,1,0.0,1,644.0,1,661.9333333333333,15,616.6666666666666,12,585.7407407407408,27,532.8627450980392,51,468.54634146341465,205
