shoe_name,release_date,size,avg_price_tw_b,total_volume_tw_b,avg_price_ow_b,total_volume_ow_b,avg_price_rs,total_volume_rs,avg_price_ow_a,total_volume_ow_a,avg_price_tw_a,total_volume_tw_a,avg_price_om_a,total_volume_om_a,avg_price_tm_a,total_volume_tm_a,avg_price_sm_a,total_volume_sm_a
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,7.5,0.0,1,428.8,5,317.0,2,325.3636363636364,22,308.6666666666667,12,320.0740740740741,27,319.18,50,331.51724137931035,203
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,8,0.0,1,424.4,10,290.5,2,303.09090909090907,22,283.25,12,291.65384615384613,26,287.92,50,281.6119402985075,201
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,8.5,0.0,1,449.8181818181818,11,285.5,2,300.85714285714283,21,275.3333333333333,12,289.38461538461536,26,280.27450980392155,51,272.835,200
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,9,0.0,1,457.3636363636364,11,287.0,1,302.72727272727275,22,272.3333333333333,12,280.1111111111111,27,274.22,50,263.84,200
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,9.5,800.0,2,514.8181818181819,11,288.0,2,306.95454545454544,22,269.3636363636364,11,270.74074074074076,27,266.92,50,261.22613065326635,199
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,10,835.0,3,542.3636363636364,11,290.5,2,309.54545454545456,22,262.1818181818182,11,263.3333333333333,27,263.265306122449,49,255.85427135678393,199
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,10.5,0.0,1,476.27272727272725,11,288.0,1,307.6363636363636,22,261.0833333333333,12,260.4074074074074,27,259.54,50,249.69,200
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,11,0.0,1,502.6363636363636,11,293.0,1,310.5,22,267.5833333333333,12,269.14814814814815,27,266.78,50,259.23,200
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,11.5,0.0,1,443.3333333333333,6,300.0,1,315.60869565217394,23,271.54545454545456,11,278.14814814814815,27,277.1372549019608,51,271.05940594059405,202
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,12,752.0,3,514.3636363636364,11,308.0,2,314.72727272727275,22,273.54545454545456,11,276.2962962962963,27,278.734693877551,49,267.99497487437185,199
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,12.5,0.0,1,0.0,1,347.0,2,434.70588235294116,17,308.9230769230769,13,324.77777777777777,27,326.63461538461536,52,324.67632850241546,207
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,13,0.0,1,519.0,9,313.0,2,320.77272727272725,22,280.54545454545456,11,277.81481481481484,27,279.7843137254902,51,287.49751243781094,201
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,14,0.0,1,395.0,1,299.0,1,330.69565217391306,23,256.8333333333333,12,253.22222222222223,27,261.94117647058823,51,263.390243902439,205
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,15,0.0,1,0.0,1,307.5,2,284.54545454545456,11,258.8333333333333,12,271.0,28,255.16981132075472,53,287.53588516746413,209
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,16,0.0,1,0.0,1,400.0,1,317.72727272727275,11,285.8333333333333,12,304.67857142857144,28,249.33962264150944,53,275.1666666666667,210
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,17,0.0,1,0.0,1,200.0,2,204.72727272727272,11,224.69230769230768,13,215.03703703703704,27,231.32075471698113,53,274.94736842105266,209
Jordan 1 Retro High Tokyo Bio Hack,2020-09-04,18,0.0,1,0.0,1,295.0,1,395.0,10,286.6666666666667,12,195.25,28,185.16981132075472,53,215.51904761904763,210
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,3.5,0.0,1,0.0,1,0.0,1,289.25,8,294.1875,16,300.0,38,357.4507042253521,71,476.0669014084507,284
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,4,0.0,1,309.3333333333333,15,277.5,2,302.2857142857143,28,318.5625,16,350.25714285714287,35,396.16923076923075,65,465.5551330798479,263
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,4.5,0.0,1,308.06666666666666,15,302.0,3,323.7857142857143,28,333.46666666666664,15,412.0285714285714,35,430.81538461538463,65,452.82889733840307,263
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,5,0.0,1,336.8,15,308.3333333333333,3,321.75,28,337.46666666666664,15,418.8285714285714,35,424.0923076923077,65,485.7528517110266,263
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,5.5,532.0,7,343.73333333333335,15,314.6666666666667,3,333.7142857142857,28,370.4,15,430.5882352941176,34,445.55384615384617,65,460.0503875968992,258
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,6,0.0,1,322.2,15,310.0,3,329.10714285714283,28,368.4,15,418.6857142857143,35,455.10769230769233,65,460.91634980988596,263
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,6.5,326.3333333333333,21,340.6,15,306.5,2,325.3703703703704,27,363.8666666666667,15,447.8484848484849,33,420.87301587301585,63,456.59760956175296,251
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,7,346.7142857142857,21,269.73333333333335,15,276.0,2,286.6296296296296,27,295.06666666666666,15,339.1515151515151,33,367.58730158730157,63,366.45418326693226,251
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,7.5,349.1578947368421,19,266.2,15,270.5,2,270.57142857142856,28,281.5,14,305.6764705882353,34,342.6666666666667,63,343.86507936507934,252
Jordan 1 Retro High COJP Midnight Navy (2020),2020-11-14,8,301.3333333333333,21,257.53333333333336,15,259.3333333333333,3,261.0,26,261.2,15,285.6060606060606,33,313.1111111111111,63,329.0358565737052,251
